name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Lenticas Private Limited,"PPPC+3X5 Rayan Plaza Near Arcade, New City Phase II Phase 2 New City, Wah, 47000, Pakistan",,,+92 300 6039473,Software Houses,New City pHase 2,9,3.8,33.7351354,72.6864406
Elexoft Technologies,"Office# FF-10, New City, City Center, Wah Cantt, 47040, Pakistan",elexoft.com,https://www.elexoft.com,+92 51 4592013,Software Houses,New City pHase 2,53,4.9,33.7541728,72.7047459
SOLIXSOFT,"M, Block, New City Phase II Phase 2 New City, Wah Cantt, 47040, Pakistan",solixsoft.com,https://www.solixsoft.com,+92 300 4723871,Software Houses,New City pHase 2,12,5,33.7541728,72.7047459
Tunix Technologies,"Golden Square plaza, 2nd floor , office# 15 , New City Phase 2 Wah Cantt, Pakistan",tunixtechnologies.com,https://www.tunixtechnologies.com,+92 51 4592018,Software Houses,New City pHase 2,4,4,33.7541728,72.7047459
QuipSol,"Office#18 - 2nd Floor, Golden Square, E Block Phase 2 New City, Wah Cantt, 47040, Pakistan",quipsol.co,https://www.quipsol.co,+92 311 0871757,Software Houses,New City pHase 2,11,4.3,33.7541728,72.7047459
TRIHUB (Private) Ltd.,"2nd Floor, Golden Square, New City Phase II Phase 2 New City, Wah Cantt, Pakistan",,,+92 347 0426219,Software Houses,New City pHase 2,2,5,33.7541728,72.7047459
Zence Solutions,"Zaitoon palaza, New City Phase II Phase 2 New City, Wah Cantt, 47000, Pakistan",,,+92 316 5485559,Software Houses,New City pHase 2,,,33.7541728,72.7047459
