name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
GoodCore - Software Development Company,"Airport House, Purley Way, Croydon CR0 0XZ, United Kingdom",goodcore.co.uk,https://www.goodcore.co.uk,+44 20 8781 6903,Software houses,uk,9,4.8,52.914727,-5.2564573
Theodo UK,"20 Baltic St E, London EC1Y 0UL, United Kingdom",theodo.co.uk,https://www.theodo.co.uk,+44 20 3872 2922,Software houses,uk,20,4.8,52.914727,-5.2564573
Binmile | Software Development Company in UK,"unit 4, Imperial place, Maxwell Rd, Borehamwood WD6 1JN, United Kingdom",binmile.com,https://www.binmile.com,+44 20 3885 2846,Software houses,uk,12,5.0,52.914727,-5.2564573
300Brains UK,"One Canada Square, London E14 5FW, United Kingdom",,,+44 7834 814134,Software houses,uk,9,5.0,52.914727,-5.2564573
Software Development UK,"10 Lower Thames St, London EC3R 6AF, United Kingdom",softwaredevelopment.co.uk,https://www.softwaredevelopment.co.uk,+44 20 3951 0555,Software houses,uk,4,5.0,52.914727,-5.2564573
Instil,"27-37 Adelaide St, Belfast BT2 8FE, United Kingdom",instil.co,https://www.instil.co,+44 28 9027 8498,Software houses,uk,21,4.7,54.5947612,-10.5429535
Appdrawn Software Development,"The Junction, Station Rd, Watford WD17 1ET, United Kingdom",appdrawn.com,https://www.appdrawn.com,+44 1442 211999,Software houses,uk,12,5.0,51.6636775,-5.0112163
One Beyond Ltd,"Victoria House, 50-58 Victoria Rd, Farnborough GU14 7PG, United Kingdom",one-beyond.com,https://www.one-beyond.com,+44 1252 309582,Software houses,uk,,,51.6636775,-5.0112163
