name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
"Wah International Hospital, Taxila","GT Rd, Taxila, 47080, Pakistan",,,+92 51 4544441,hospitals,taxilla,83,3.4,33.7650715,72.7626284
HIT Hospital,"PRPG+3CG, Taxila, Pakistan",,,,hospitals,taxilla,34,3.9,33.7650715,72.7626284
Christian Hospital Taxila,"Faisal Shaheed Road, Taxila, 47080, Pakistan",chtaxila.com,https://www.chtaxila.com,+92 51 4535091,hospitals,taxilla,83,4.1,33.7650715,72.7626284
THQ Hospital Taxila,"Civil Hospital, N-125, Taxila, Pakistan",,,+92 51 9315474,hospitals,taxilla,64,3.5,33.7650715,72.7626284
Ali Family Hospital,"PRM3+J83, GT Rd, Kohsar Colony, Kohsar Colony, Taxila, Punjab, Taxila, Pakistan",,,+92 333 5129641,hospitals,taxilla,15,3.7,33.7650715,72.7626284
HIT CBT Hospital,"PRM8+5JV, Taxila, Pakistan",,,+92 334 5052733,hospitals,taxilla,8,4.9,33.7650715,72.7626284
Roshan Hospital Taxila,"QR34+XHR, HMC Rd, Taxila, Pakistan",roshanhospital.com.pk,https://www.roshanhospital.com.pk,+92 317 4800033,hospitals,taxilla,,,33.7650715,72.7626284
New Lasani Medical Complex,"GT Road, kohsar colony, near Apna mart, Wah, Pakistan",,,+92 308 4177707,hospitals,taxilla,21,3.2,33.7650715,72.7626284
