name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Jinnah Hospital Lahore,"Ahmed, Usmani Rd, Faisal Town, Lahore, 54550, Pakistan",jobnewzclub.blogspot.com,https://www.jobnewzclub.blogspot.com,+92 42 99231400,hospitals,lahore,1378,4.0,31.4815465,74.2165566
Lahore General Hospital,"Ferozpur Road، near Chungi, Amar Sidhu Ismail Nagar, Lahore, 54000, Pakistan",lgh.punjab.gov.pk,https://www.lgh.punjab.gov.pk,+92 42 99268801,hospitals,lahore,938,3.9,31.4815465,74.2165566
Lahore Care Hospital,"F953+X37, Ghazi Rd, stop Nishtar Town, Lahore, 54000, Pakistan",lahorecarehospital.com,https://www.lahorecarehospital.com,+92 305 5552323,hospitals,lahore,2980,4.6,31.4815465,74.2165566
Hameed Latif Hospital,"14 New Lahore – Kasur Rd, Abu Bakar Block Garden Town, Lahore, Pakistan",hameedlatifhospital.com,https://www.hameedlatifhospital.com,+92 42 111 000 043,hospitals,lahore,2421,4.0,31.4815465,74.2165566
Mayo Hospital,"Hospital Rd, Anarkali Bazaar Lahore, 54000, Pakistan",mayohospital.gop.pk,https://www.mayohospital.gop.pk,+92 42 99211129,hospitals,lahore,1200,4.1,31.4815465,74.2165566
Shaikh Zayed Hospital,"G855+7C8 Shaikh Zayed Medical Complex، University Avenue, Block D Muslim Town, Lahore, Pakistan",szmc.org.pk,https://www.szmc.org.pk,+92 42 35865731,hospitals,lahore,752,3.8,31.4815465,74.2165566
Fatima Memorial Hospital,"Shadman Rd, Ichhra Shadman 1 Shadman, Lahore, 54000, Pakistan",fatimamemorial.org.pk,https://www.fatimamemorial.org.pk,+92 42 111 555 600,hospitals,lahore,776,3.4,31.4815465,74.2165566
National Hospital & Medical Centre Lahore,"Street 123, Sector L Dha Phase 1, Lahore, Pakistan",nationalhospital.org,https://www.nationalhospital.org,+92 42 111 171 819,hospitals,lahore,910,3.3,31.4815465,74.2165566
