name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Shaheen Public School Jamilabad Taxila (Regd),"St no 36, Jamil Abad Main Rd, Jamilabad, Taxila, 47080, Pakistan",,,+92 311 5330413,Schools,taxilla,22,4.7,33.7374899,72.7092091
HITEC Schools & Colleges,"Cantt, Taxila, 47070, Pakistan",hitec.edu.pk,https://www.hitec.edu.pk,+92 51 9043100,Schools,taxilla,188,4.5,33.725126,72.7479972
"ONYX SCHOOL AND COLLEGE, HMC ROAD, TAXILA","PRWQ+GV9, LAKHAN STREET, Taxila, 47080, Pakistan",,,+92 300 5169124,Schools,taxilla,2,5.0,33.725126,72.7479972
The Country School,"Shabab Manzil, Ayub Shah Rd, Taxila, Pakistan",thecountryschool.edu.pk,https://www.thecountryschool.edu.pk,+92 51 4592772,Schools,taxilla,5,4.8,33.725126,72.7479972
Allied School Taxila Campus,"PQW8+83X, Gulshan e Anwar, Wah, Pakistan",alliedschools.edu.pk,https://www.alliedschools.edu.pk,+92 51 4910809,Schools,taxilla,,,33.7458621,72.6931476
PARAGON Schooling System,"Shahjahan Plaza, Thatha Khalil Rd, opp. Marble Factory, Jamilabad, Taxila, Pakistan",,,+92 311 5492186,Schools,taxilla,7,5.0,33.7458621,72.6931476
Comprehensive School System Taxila Campus,"HMC Rd, near Tariq CNG Taxila, Taxila, 47080, Pakistan",,,+92 318 5764466,Schools,taxilla,,,33.7589374,72.7357048
Government Boys Primary School Taxila,"PRW6+X5Q, Taxila, Pakistan",,,,Schools,taxilla,,,33.7589374,72.7357048
