name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
The Aga Khan University Hospital (AKUH),"National Stadium Rd, Aga Khan University Hospital, Karachi, 74800, Pakistan",hospitals.aku.edu,https://www.hospitals.aku.edu,+92 21 111 911 911,hospitals,karachi,,,24.9101882,67.0178218
"Dr. Ruth K. M. Pfau, Civil Hospital Karachi","Mission Rd، near Civil Hospital Masjid, New Labour Colony Nanakwara, Karachi, Pakistan",chk.gov.pk,https://www.chk.gov.pk,+92 21 99215740,hospitals,karachi,560,4.2,24.8920057,66.7863243
Indus Hospital & Health Network,"Plot C-76, Sector 31/5, Opposite، Crossing, Darussalam Society Sector 39 Korangi, Karachi, Pakistan",indushospital.org.pk,https://www.indushospital.org.pk,+92 21 111 111 880,hospitals,karachi,1120,4.2,24.8920057,66.7863243
Darul Sehat Hospital,"Darul Sehat Hospital, ST-19, Block 15 Gulistan-e-Johar, Karachi, Pakistan",dsh.com.pk,https://www.dsh.com.pk,+92 21 111 300 999,hospitals,karachi,1100,3.5,24.8920057,66.7863243
South City Hospital,"Block-9, St-1 Shahrah-e-Firdousi, Block 3 Clifton, Karachi, 75600, Pakistan",southcityhospital.org,https://www.southcityhospital.org,+92 21 111 724 000,hospitals,karachi,632,3.6,24.8920057,66.7863243
Medicare Cardiac & General Hospital,"22-23 Shaheed-e-Millat Rd, Bihar Muslim Society BMCHS Sharafabad, Karachi, Pakistan",medicarehospital.pk,https://www.medicarehospital.pk,+92 21 111 001 786,hospitals,karachi,930,4.3,24.8920057,66.7863243
Burhani Hospital,"V236+527, Faiz Muhammad Fateh Ali Rd, New Chali, Karachi, 74200, Pakistan",burhanihospital.org.pk,https://www.burhanihospital.org.pk,+92 21 111 847 164,hospitals,karachi,269,3.4,24.8920057,66.7863243
Patel Hospital,"ST-18, Block 4 Gulshan-e-Iqbal, Karachi, 75300, Pakistan",patel-hospital.org.pk,https://www.patel-hospital.org.pk,+92 21 111 174 174,hospitals,karachi,871,3.3,24.8920057,66.7863243
